condition,seed,step,artifact_type,logical_artifact_id,size_bytes,sha256,load_validated,backup_status,storage_location
vanilla_dqn,63005,0,checkpoint_metadata,vanilla_dqn/seed_63005/checkpoint_metadata_0.json,696,000242ca0a50b6073062605e51cabd6cab0d06484426d43a2da0c3242edc70f1,True,not_available,experiment_machine_local
vanilla_dqn,63003,75000,full_checkpoint,vanilla_dqn/seed_63003/ckpt_step_75000_full.pt,44288156,65fa0d20b7785b7e5c85bc88e0f8563a0bbc853bd28040ca32344359525b1907,True,not_available,experiment_machine_local
vanilla_dqn,63003,75000,weights,vanilla_dqn/seed_63003/weights_step_75000.pt,106687,6e20dbdc6441ab156c91e6eb2e61c42e506e44304629ce76ed50b0386c525f4a,True,not_available,experiment_machine_local
vanilla_dqn,63003,75000,checkpoint_metadata,vanilla_dqn/seed_63003/checkpoint_metadata_75000.json,710,e1c2d4b2e2ff120426203e0b34a407e5221e1faf0309903bfa6c9217b20bb115,True,not_available,experiment_machine_local
vanilla_dqn,63004,250000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_250000_full.pt,46570911,d9944e1fa1c0e6a8cdeb5cb94370d082bae75636db1ed2b4ca558e24cbd3b42c,True,not_available,experiment_machine_local
vanilla_dqn,63004,250000,weights,vanilla_dqn/seed_63004/weights_step_250000.pt,106781,abd8c7eb55e077fcbfd4289fb868874922ddfa9a40820d46a2754385969b32b6,True,not_available,experiment_machine_local
vanilla_dqn,63004,250000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_250000.json,713,f375c79a9eceee8bdd6a93a557af0f210981c103ec351d79b419da7f24880e2c,True,not_available,experiment_machine_local
vanilla_dqn,63004,200000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_200000_full.pt,41538847,e3118b460fdaa49ea4552397169cad406613ea287d7a45e004d2dbf28e6bda8a,True,not_available,experiment_machine_local
vanilla_dqn,63004,200000,weights,vanilla_dqn/seed_63004/weights_step_200000.pt,106781,e69a6a40cc104c90a609c1c9be8ba72a832c35bec090718ad3ab859d14f80db2,True,not_available,experiment_machine_local
vanilla_dqn,63004,200000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_200000.json,713,86fd4f03c405df9b3a31ad6768838ede313e1b50ce9458496d48c20aab8ba4b7,True,not_available,experiment_machine_local
vanilla_dqn,63004,300000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_300000_full.pt,45165983,5f388d05c5f9cba55530170717b8563f97b76165ac39310acaaf885d18921690,True,not_available,experiment_machine_local
vanilla_dqn,63004,300000,weights,vanilla_dqn/seed_63004/weights_step_300000.pt,106781,f20d2f955992281c1a02a9de279c7da5fb93b69c98747c04a17c176ffb29ce4d,True,not_available,experiment_machine_local
vanilla_dqn,63004,300000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_300000.json,713,966288c67e1d7f155a02b7dedaf696d5210fe2e86488f4ce5d194edb57b69743,True,not_available,experiment_machine_local
vanilla_dqn,63005,10000,full_checkpoint,vanilla_dqn/seed_63005/ckpt_step_10000_full.pt,19876380,74d917fa727c14cc8b243dee1a8148b288aae47094986db6ec98bcd854efad8b,True,not_available,experiment_machine_local
vanilla_dqn,63005,10000,weights,vanilla_dqn/seed_63005/weights_step_10000.pt,106687,074b0f2af5963a3f3c3b58be00eee369a52cd706acc2431dfd4135e5d51cc90e,True,not_available,experiment_machine_local
vanilla_dqn,63005,10000,checkpoint_metadata,vanilla_dqn/seed_63005/checkpoint_metadata_10000.json,710,88b3cd038f57eb7e961ef87e857d13f7dba5fbee298ba5ca0017144f84d5dd3d,True,not_available,experiment_machine_local
vanilla_dqn,63004,50000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_50000_full.pt,44491548,44f53ec6e1fc856c7533cfb42f2dd8b63fba7c8ff7dff8ceea57e0e91249c117,True,not_available,experiment_machine_local
vanilla_dqn,63004,50000,weights,vanilla_dqn/seed_63004/weights_step_50000.pt,106687,dc076f1794ad8f213d0cba9d6bf699d46b58a4328ad4f8abe1b1e8e0ef38ecff,True,not_available,experiment_machine_local
vanilla_dqn,63004,50000,checkpoint_metadata,vanilla_dqn/seed_63004/checkpoint_metadata_50000.json,710,819b244d94f64fbdf6120fb4c2debcf74ff49bf5a745c43ac1cf54aed10b14b1,True,not_available,experiment_machine_local
vanilla_dqn,63004,75000,full_checkpoint,vanilla_dqn/seed_63004/ckpt_step_75000_full.pt,42356700,f89437b8ca170afcccedea27638ccaddb16c4fd7f81f9e3c244b76811efd1254,True,not_available,experiment_machine_local
vanilla_dqn,63004,75000,weights,vanilla_dqn/seed_63004/weights_step_75000.pt,106687,e1d2a9aa5f26ea2925761af9d50aebe8cddb80020c0feda3136c086e36108780,True,not_available,experiment_machine_local
