master_seed,validation_block_id,assignment,controller,success,maintain_frac,accelerate_frac,decelerate_frac,action_switch_rate
61007,validation_007,1,B,True,0.625,0.25,0.125,0.12698412698412698
61007,validation_008,0,A,True,0.5357142857142857,0.4642857142857143,0.0,0.09090909090909091
61007,validation_008,0,B,True,0.7142857142857143,0.2857142857142857,0.0,0.14545454545454545
61007,validation_008,1,A,True,0.7777777777777778,0.13580246913580246,0.08641975308641975,0.05
61007,validation_008,1,B,True,1.0,0.0,0.0,0.0
61008,validation_001,0,A,False,0.055,0.0,0.945,0.015037593984962405
61008,validation_001,0,B,False,0.9375,0.0425,0.02,0.012531328320802004
61008,validation_001,1,A,False,0.95,0.0,0.05,0.010025062656641603
61008,validation_001,1,B,False,0.9025,0.0075,0.09,0.015037593984962405
61008,validation_002,0,A,False,0.005,0.0,0.995,0.005012531328320802
61008,validation_002,0,B,False,0.875,0.0525,0.0725,0.03759398496240601
61008,validation_002,1,A,False,0.9675,0.0,0.0325,0.015037593984962405
61008,validation_002,1,B,False,0.9075,0.01,0.0825,0.020050125313283207
61008,validation_003,0,A,False,0.0075,0.0,0.9925,0.005012531328320802
61008,validation_003,0,B,False,0.8625,0.0525,0.085,0.012531328320802004
61008,validation_003,1,A,False,0.9775,0.005,0.0175,0.015037593984962405
61008,validation_003,1,B,False,0.8775,0.0,0.1225,0.007518796992481203
61008,validation_004,0,A,False,0.0525,0.0,0.9475,0.005012531328320802
61008,validation_004,0,B,False,0.9,0.0825,0.0175,0.015037593984962405
61008,validation_004,1,A,False,0.9475,0.0,0.0525,0.015037593984962405
61008,validation_004,1,B,False,0.905,0.0125,0.0825,0.015037593984962405
61008,validation_005,0,A,False,0.045,0.0,0.955,0.005012531328320802
61008,validation_005,0,B,False,0.9175,0.0725,0.01,0.020050125313283207
61008,validation_005,1,A,False,0.9325,0.0,0.0675,0.015037593984962405
61008,validation_005,1,B,False,0.88,0.0275,0.0925,0.015037593984962405
61008,validation_006,0,A,False,0.045,0.0,0.955,0.005012531328320802
61008,validation_006,0,B,False,0.8975,0.09,0.0125,0.017543859649122806
61008,validation_006,1,A,False,0.95,0.0,0.05,0.015037593984962405
61008,validation_006,1,B,False,0.8975,0.0175,0.085,0.015037593984962405
61008,validation_007,0,A,False,0.0,0.0,1.0,0.0
61008,validation_007,0,B,False,0.9225,0.01,0.0675,0.017543859649122806
61008,validation_007,1,A,False,0.9875,0.0,0.0125,0.010025062656641603
61008,validation_007,1,B,False,0.8975,0.0,0.1025,0.007518796992481203
61008,validation_008,0,A,False,0.045,0.0,0.955,0.005012531328320802
61008,validation_008,0,B,False,0.895,0.0925,0.0125,0.015037593984962405
61008,validation_008,1,A,False,0.9325,0.0,0.0675,0.015037593984962405
61008,validation_008,1,B,False,0.8575,0.035,0.1075,0.010025062656641603
61009,validation_001,0,A,False,0.8825,0.0675,0.05,0.005012531328320802
61009,validation_001,0,B,False,0.89,0.0,0.11,0.005012531328320802
61009,validation_001,1,A,False,0.91,0.0,0.09,0.002506265664160401
61009,validation_001,1,B,False,0.0,0.0075,0.9925,0.010025062656641603
61009,validation_002,0,A,False,0.7375,0.0625,0.2,0.010025062656641603
61009,validation_002,0,B,False,0.1825,0.0675,0.75,0.012531328320802004
61009,validation_002,1,A,False,0.8825,0.0025,0.115,0.05012531328320802
61009,validation_002,1,B,False,0.8575,0.11,0.0325,0.015037593984962405
61009,validation_003,0,A,False,0.925,0.015,0.06,0.007518796992481203
61009,validation_003,0,B,False,0.9,0.0,0.1,0.012531328320802004
61009,validation_003,1,A,False,0.8775,0.0125,0.11,0.05513784461152882
61009,validation_003,1,B,False,0.895,0.09,0.015,0.015037593984962405
61009,validation_004,0,A,False,0.915,0.0,0.085,0.002506265664160401
61009,validation_004,0,B,False,0.9375,0.0625,0.0,0.010025062656641603
61009,validation_004,1,A,False,0.955,0.045,0.0,0.010025062656641603
61009,validation_004,1,B,False,0.9,0.0075,0.0925,0.017543859649122806
61009,validation_005,0,A,False,0.9225,0.0025,0.075,0.005012531328320802
61009,validation_005,0,B,False,0.94,0.06,0.0,0.010025062656641603
61009,validation_005,1,A,False,0.995,0.005,0.0,0.005012531328320802
61009,validation_005,1,B,False,0.0575,0.0,0.9425,0.005012531328320802
61009,validation_006,0,A,False,0.915,0.0025,0.0825,0.005012531328320802
61009,validation_006,0,B,False,0.9325,0.0675,0.0,0.010025062656641603
61009,validation_006,1,A,False,0.9825,0.0175,0.0,0.010025062656641603
61009,validation_006,1,B,False,0.775,0.0725,0.1525,0.13283208020050125
61009,validation_007,0,A,False,0.8925,0.065,0.0425,0.010025062656641603
61009,validation_007,0,B,False,0.8825,0.0,0.1175,0.002506265664160401
61009,validation_007,1,A,False,0.86,0.005,0.135,0.03508771929824561
61009,validation_007,1,B,False,0.925,0.0725,0.0025,0.012531328320802004
61009,validation_008,0,A,False,0.9175,0.0,0.0825,0.002506265664160401
61009,validation_008,0,B,False,0.9225,0.0775,0.0,0.010025062656641603
61009,validation_008,1,A,False,0.975,0.025,0.0,0.015037593984962405
61009,validation_008,1,B,False,0.77,0.075,0.155,0.13784461152882205
61010,validation_001,0,A,False,0.885,0.0425,0.0725,0.012531328320802004
61010,validation_001,0,B,False,0.76,0.0925,0.1475,0.08521303258145363
61010,validation_001,1,A,False,0.8825,0.0,0.1175,0.005012531328320802
61010,validation_001,1,B,False,0.045,0.015,0.94,0.03759398496240601
61010,validation_002,0,A,False,0.15789473684210525,0.7368421052631579,0.10526315789473684,0.2222222222222222
61010,validation_002,0,B,False,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.2222222222222222
61010,validation_002,1,A,False,0.8575,0.0,0.1425,0.005012531328320802
61010,validation_002,1,B,False,0.0625,0.005,0.9325,0.020050125313283207
61010,validation_003,0,A,False,0.03,0.035,0.935,0.020050125313283207
61010,validation_003,0,B,False,0.025,0.03,0.945,0.02756892230576441
61010,validation_003,1,A,False,0.0,0.0,1.0,0.0
61010,validation_003,1,B,False,0.0575,0.0,0.9425,0.007518796992481203
61010,validation_004,0,A,False,0.865,0.05,0.085,0.017543859649122806
61010,validation_004,0,B,False,0.8225,0.0575,0.12,0.08521303258145363
61010,validation_004,1,A,False,0.94,0.0125,0.0475,0.010025062656641603
61010,validation_004,1,B,False,0.13,0.0975,0.7725,0.14035087719298245
61010,validation_005,0,A,False,0.0,1.0,0.0,0.0
61010,validation_005,0,B,False,0.05263157894736842,0.7894736842105263,0.15789473684210525,0.1111111111111111
61010,validation_005,1,A,False,0.965,0.015,0.02,0.007518796992481203
61010,validation_005,1,B,False,0.0975,0.1025,0.8,0.11528822055137844
61010,validation_006,0,A,False,0.005,0.06,0.935,0.017543859649122806
61010,validation_006,0,B,False,0.025,0.0275,0.9475,0.022556390977443608
