master_seed,validation_block_id,assignment,controller,outcome,mean_abs_Q,Q_margin_mean,Q_margin_median,Q_margin_q10,Q_margin_q90,frac_margin_lt_1e-3,frac_margin_lt_1e-2,frac_margin_lt_5e-2
61003,validation_005,0,A,success,0.7209295460497998,0.00653045866862832,0.005586564540863,0.00205804109573362,0.011554205417632999,0.03614457831325301,0.7831325301204819,1.0
61003,validation_005,0,B,success,0.9932036780449282,0.023716967508017252,0.0141166448593139,0.00090169906616202,0.05166869163513178,0.12048192771084337,0.43373493975903615,0.8795180722891566
61003,validation_005,1,A,truncated,1.067626435905695,0.001741805523633911,0.0012898445129394,0.0002463757991790501,0.004845476150512661,0.3825,0.9975,1.0
61003,validation_005,1,B,truncated,1.021632769703865,0.0030804398655890934,0.00078588724136345,0.00014461278915396,0.0071287155151366546,0.615,0.9525,1.0
61003,validation_006,0,A,success,0.7381713691648546,0.008729696273803664,0.006449282169342,0.0030866861343383,0.0172770023345947,0.02197802197802198,0.7142857142857143,1.0
61003,validation_006,0,B,success,0.9356419642766317,0.034474472423176146,0.0361713171005249,0.0012321472167968,0.0718565583229065,0.0989010989010989,0.3516483516483517,0.7582417582417582
61003,validation_006,1,A,truncated,1.2583367152015368,0.003426553010940504,0.00254005193710325,0.00131839513778677,0.00603561401367183,0.0725,0.9725,1.0
61003,validation_006,1,B,truncated,0.9717248609662056,0.007695340961217834,0.007055491209030099,0.00361167192459104,0.00910914540290826,0.0,0.945,1.0
61003,validation_007,0,A,success,0.7050789756434305,0.007615573065621463,0.00735339522361755,0.00228357911109917,0.01308848261833186,0.04285714285714286,0.7285714285714285,1.0
61003,validation_007,0,B,success,0.9122237980365753,0.028926587104797324,0.01163020730018615,0.00083892941474906,0.0584688305854797,0.11428571428571428,0.45714285714285713,0.8714285714285714
61003,validation_007,1,A,success,0.5405800663507901,0.0039312063747054425,0.0012162923812865998,0.00022485852241512004,0.01152287125587455,0.44505494505494503,0.804945054945055,1.0
61003,validation_007,1,B,success,0.7812960567600998,0.003035160866412439,0.0024596452713012,0.00038011670112604004,0.0041920602321624595,0.2087912087912088,0.9395604395604396,1.0
61003,validation_008,0,A,success,0.7495374391094233,0.008994610836872639,0.006062597036361649,0.0037683725357055197,0.013354331254959093,0.028846153846153848,0.6634615384615384,1.0
61003,validation_008,0,B,success,0.8383287437713872,0.04362694671950656,0.0391522645950317,0.0032151937484741003,0.09431285858154298,0.038461538461538464,0.27884615384615385,0.5576923076923077
61003,validation_008,1,A,truncated,1.2585229993859928,0.0036131459474563112,0.00257194042205805,0.00131839513778677,0.00614359378814692,0.0725,0.96,1.0
61003,validation_008,1,B,truncated,0.9720475628475348,0.0075303980708121745,0.007040709257125801,0.00363001823425288,0.009044539928436231,0.0,0.9575,1.0
61004,validation_001,0,A,truncated,0.5790624978144964,0.01223074525594705,0.0123148560523986,0.0024986088275908503,0.01260522603988644,0.01,0.24,0.9825
61004,validation_001,0,B,truncated,0.655829987078905,0.004537315666675532,0.0028530955314636,0.0008540868759154802,0.009835129976272573,0.1125,0.9025,1.0
61004,validation_001,1,A,success,0.7623701399813095,0.010024867020547341,0.0077949762344360005,0.0024131536483764406,0.02701727151870727,0.015625,0.765625,1.0
61004,validation_001,1,B,success,0.8522685430943966,0.011145582422614049,0.0095745921134948,0.0018165051937102804,0.017961251735687203,0.0625,0.515625,1.0
61004,validation_002,0,A,success,0.7221913763055219,0.027034132833212158,0.0066179037094116,0.0006061196327209,0.1444818675518036,0.16901408450704225,0.5915492957746479,0.8591549295774648
61004,validation_002,0,B,success,0.8639362177378694,0.009560517022307436,0.0093188285827636,0.0019463896751403,0.0165678262710571,0.08450704225352113,0.5211267605633803,1.0
