condition,seed,checkpoint,n_episodes,success,collision,truncation,mean_utility,mean_Q_margin,mean_abs_best_Q
double_dqn,63012,300000,16,1.0,0.0,0.0,0.9591387348240358,0.011245924847488207,0.6753086837793784
double_dqn,63013,0,16,0.0,0.0,1.0,0.6525739224037772,0.07181842174140908,0.056214260678971124
double_dqn,63013,10000,16,0.6875,0.25,0.0625,0.7930353533805049,0.03361708289590574,0.4689141047562353
double_dqn,63013,25000,16,1.0,0.0,0.0,0.9060630799264486,0.03625460468283217,0.9251892925585221
double_dqn,63013,50000,16,0.25,0.0,0.75,0.6016819402821442,0.035118279634130674,1.0245172157756395
double_dqn,63013,75000,16,0.3125,0.1875,0.5,0.6090964085618938,0.020636289887364243,0.8612669741627669
double_dqn,63013,100000,16,0.9375,0.0625,0.0,0.9208112183876656,0.010833361177999318,0.6482019630447392
double_dqn,63013,150000,16,0.75,0.0,0.25,0.8764759722272673,0.013409807948382806,0.8647109375446773
double_dqn,63013,200000,16,0.125,0.0,0.875,0.5172639192517181,0.010231926026411925,0.8233355199012634
double_dqn,63013,250000,16,0.9375,0.0,0.0625,0.8041935904335554,0.018813312246982062,0.6798396869367722
double_dqn,63013,300000,16,0.75,0.125,0.125,0.7676447647011984,0.016264793647669137,0.7258150973854774
double_dqn,63014,0,16,0.0,0.0,1.0,0.5975882732037949,0.11222352336408217,0.11187284074694613
double_dqn,63014,10000,16,0.125,0.0625,0.8125,0.6315696726858412,0.10944588024024442,1.308023502840894
double_dqn,63014,25000,16,0.3125,0.0,0.6875,0.5711638399654264,0.0300116097504012,1.2543958397533055
double_dqn,63014,50000,16,0.0,0.0,1.0,0.3314457644073418,0.025627450621686827,1.3705956732248887
double_dqn,63014,75000,16,0.0,0.0,1.0,0.5139214055711568,0.014277795520611062,1.0315063925320282
double_dqn,63014,100000,16,0.0,0.0,1.0,0.4181496758893392,0.004616406869608862,0.8206929303868674
double_dqn,63014,150000,16,0.8125,0.1875,0.0,0.7341599642192286,0.013656330086514068,0.6368286144432851
double_dqn,63014,200000,16,0.875,0.125,0.0,0.7967786094694762,0.0070429286943153625,0.654992846960006
double_dqn,63014,250000,16,1.0,0.0,0.0,0.9234992267976792,0.008280765714673538,0.6513667777220542
double_dqn,63014,300000,16,1.0,0.0,0.0,0.942447127465666,0.011815859573318536,0.6435086193975054
double_dqn,63015,0,16,0.375,0.625,0.0,0.6340111772453534,0.10796712387470672,0.08513433232913957
double_dqn,63015,10000,16,0.625,0.375,0.0,0.7475836317039884,0.03226474734559694,0.46910718333319507
double_dqn,63015,25000,16,0.5,0.125,0.375,0.6583067301438056,0.03981834756106831,1.0414881820850603
double_dqn,63015,50000,16,1.0,0.0,0.0,0.8694173857032216,0.024629696246849412,0.7548328138792494
double_dqn,63015,75000,16,0.5625,0.0625,0.375,0.6909462182881624,0.011717647329831805,0.8239014206019677
double_dqn,63015,100000,16,0.6875,0.0,0.3125,0.7170580373295063,0.007552089452349775,0.7530570751242796
double_dqn,63015,150000,16,1.0,0.0,0.0,0.8902877390634316,0.01770887986886951,0.7717526631082255
double_dqn,63015,200000,16,1.0,0.0,0.0,0.898585348008823,0.024111153777145337,0.7611979045093071
double_dqn,63015,250000,16,0.9375,0.0625,0.0,0.9399196367807673,0.016670220834708836,0.7032075993368396
double_dqn,63015,300000,16,1.0,0.0,0.0,0.8689766204387365,0.014391861055109725,0.6564330497969926
double_dqn,63016,0,16,0.1875,0.8125,0.0,0.5697227460679065,0.0180480612249806,0.036354524681631334
double_dqn,63016,10000,16,0.6875,0.3125,0.0,0.7774497344016364,0.018843564380518964,0.39312912901372776
double_dqn,63016,25000,16,0.5,0.0,0.5,0.6918742807914706,0.04762743837095319,1.2379537171043367
double_dqn,63016,50000,16,0.1875,0.0,0.8125,0.604581306242523,0.02482867208449302,1.0731532519332196
double_dqn,63016,75000,16,0.5,0.0,0.5,0.6955955787545671,0.01250796811799272,0.8459568784444678
double_dqn,63016,100000,16,0.5,0.0,0.5,0.7126670019646857,0.012344559236655164,0.7144765840340384
double_dqn,63016,150000,16,0.4375,0.0,0.5625,0.5874024143542588,0.018122783960620226,0.6402096169439271
double_dqn,63016,200000,16,0.9375,0.0625,0.0,0.9246669863510018,0.012906737672104407,0.6869917466917086
double_dqn,63016,250000,16,0.9375,0.0,0.0625,0.8147537800967807,0.008880794151754313,0.6458075704207147
double_dqn,63016,300000,16,0.625,0.125,0.25,0.7541700604831008,0.008930870509382368,0.6635483111698808
double_dqn,63017,0,16,0.875,0.125,0.0,0.890680637119995,0.0634872381911784,0.18721282509658652
